id,SourceIdRef,productId,category_id,title,description,imageUrlStr,productImageUrls,mrp,sellingPrice,specialPrice,productUrl,categories,productBrand,productFamily,inStock,codAvailable,offers,discount,shippingCharges,deliveryTime,size,color,sizeUnit,storage,displaySize,keySpecsStr,detailedSpecsStr,specificationList,sellerName,sellerAverageRating,sellerNoOfRatings,sellerNoOfReviews,sleeve,neck,idealFor,curatedDescription,mRating,mTags,source,IsActive,created_date,updated_date
2,2,HMBFEHFT74HWX5GZ,1,"ALDO Hand-held Bag(Black)","Treat yourself to a beautiful accessory; get this lovely black handbag from the house of Aldo. With an outer body crafted in polyester with textile lining on the inside, the bag speaks of sheer luxury and unmatched excellence. A magnetic button closure, one large compartment and sturdy handles impart utility and added aesthetics. Match this black bag with one of your favourite tee, a pair of blue slim fit jeans, and a pair of patent pumps for a stunning date outfit",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/5/g/z/nusz98-nusz98-hand-held-bag-aldo-original-imafemf7cagsczdp.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/5/g/z/nusz98-nusz98-hand-held-bag-aldo-original-imafemf7cagsczdp.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/5/g/z/nusz98-nusz98-hand-held-bag-aldo-original-imafemf7cagsczdp.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemymgs4mzpu5?pid=HMBFEHFT74HWX5GZ,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEHFT74HWX5GZ,null,TRUE,0,0,0.0,,0,Black,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 5.0 mm x 15.0 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 5.0 mm x 15.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Treat yourself to a beautiful accessory; get this lovely black handbag from the house of Aldo. With an outer body crafted in polyester with textile lining on the inside, the bag speaks of sheer luxury and unmatched excellence. A magnetic button closure, one large compartment and sturdy handles impart utility and added aesthetics. Match this black bag with one of your favourite tee, a pair of blue slim fit jeans, and a pair of patent pumps for a stunning date outfit",,,flipkart,1,"2019-06-12 14:10:24","2019-09-18 03:01:01"
188,188,HMBE4HZTHEPVK6F6,1,"The House of Tara Shoulder Bag(Multicolor)","Tote Bag made in printed cotton canvas with different prints on 2 sides. It has jute chord handles and embellished with attractive cotton thread and glass beads tassle. Lined with polyester fabric with coin and mobile pockets.",https://rukminim1.flixcart.com/image/200/200/hand-messenger-bag/6/f/6/htt-273-the-house-of-tara-shoulder-bag-printed-canvas-273-original-imae4ha6rsphvnqg.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/hand-messenger-bag/6/f/6/htt-273-the-house-of-tara-shoulder-bag-printed-canvas-273-original-imae4ha6rsphvnqg.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/hand-messenger-bag/6/f/6/htt-273-the-house-of-tara-shoulder-bag-printed-canvas-273-original-imae4ha6rsphvnqg.jpeg?q=90,,799.0,799.0,674.0,http://www.flipkart.com/house-tara-shoulder-bag/p/itmf3vf3eyghnu7f?pid=HMBE4HZTHEPVK6F6,"Lifestyle>Leather & Travel Accessories>Bags>Shoulder Bags","The House of Tara",HMBE4HZTHEPVK6F6,true,TRUE,0,15,0.0,"Usually Delivered in 5 - 6 days.",0,Multicolor,0,0,0,"For Women;Material: Canvas, Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 394 mm x 305 mm","For Women;Material: Canvas, Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 394 mm x 305 mm",0,"Vandit Aneja",0.0,0,0,0,0,,"Tote Bag made in printed cotton canvas with different prints on 2 sides. It has jute chord handles and embellished with attractive cotton thread and glass beads tassle. Lined with polyester fabric with coin and mobile pockets.",,,flipkart,1,"2019-06-12 14:10:31","2019-06-25 04:39:10"
505,505,HMBFEHYJ3GA4CGPA,1,"ALDO Hand-held Bag(Black)","A handbag can say a lot about your personality; so make sure you choose the best. This black handbag features solid pattern, zipper closure, with one compartment and lock ley hardware detailing at the front for added aesthetics. The handbag is composed using polyester for the outer body while textile forms the inner; great to carry along while going out for lunch with friends and family.",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/g/p/a/genualdi98-genualdi98-hand-held-bag-aldo-original-imafehy8tgyuqvfe.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/g/p/a/genualdi98-genualdi98-hand-held-bag-aldo-original-imafehy8tgyuqvfe.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/g/p/a/genualdi98-genualdi98-hand-held-bag-aldo-original-imafehy8tgyuqvfe.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfehxhgrcvkhgm?pid=HMBFEHYJ3GA4CGPA,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEHYJ3GA4CGPA,TRUE,TRUE,0,0,0.0,,0,Black,0,0,0,"For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 5.0 inch x 15.0 inch","For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 5.0 inch x 15.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"A handbag can say a lot about your personality; so make sure you choose the best. This black handbag features solid pattern, zipper closure, with one compartment and lock ley hardware detailing at the front for added aesthetics. The handbag is composed using polyester for the outer body while textile forms the inner; great to carry along while going out for lunch with friends and family.",,,flipkart,1,"2019-06-12 14:10:42","2019-06-25 07:18:34"
544,544,HMBFEH2PZQH9EGKE,1,"ALDO Hand-held Bag(White)","Carry your essentials with you whenever going out in this off white handbag from the house of Aldo. The handbag is manufactured using polyester outer with textile inner lining, for the durability and sturdiness. It is large enough to hold your phone, money, cards, make-up and then some more. It features a zipper closure with one compartment, double handles and metal hardware detailing for added aesthetics.",https://rukminim1.flixcart.com/image/200/200/jt8yxe80/hand-messenger-bag/g/k/e/handful32-handful32-hand-held-bag-aldo-original-imafemhjyc6udpae.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt8yxe80/hand-messenger-bag/g/k/e/handful32-handful32-hand-held-bag-aldo-original-imafemhjyc6udpae.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt8yxe80/hand-messenger-bag/g/k/e/handful32-handful32-hand-held-bag-aldo-original-imafemhjyc6udpae.jpeg?q=90,,7999.0,7999.0,7999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemgmxqdzayeb?pid=HMBFEH2PZQH9EGKE,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH2PZQH9EGKE,TRUE,TRUE,0,0,0.0,,0,White,0,0,0,"For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 9 inch x 14 inch","For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 9 inch x 14 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Carry your essentials with you whenever going out in this off white handbag from the house of Aldo. The handbag is manufactured using polyester outer with textile inner lining, for the durability and sturdiness. It is large enough to hold your phone, money, cards, make-up and then some more. It features a zipper closure with one compartment, double handles and metal hardware detailing for added aesthetics.",,,flipkart,1,"2019-06-12 14:10:44","2019-06-25 07:38:10"
582,582,HMBFEH535MVAGYXT,1,"ALDO Hand-held Bag(Tan)","Treat yourself by picking this fashionable tan handbag from the house of Aldo. Crafted using polyester and adorned with textile inner lining, the bag is tantamount to unmatched quality. With a magnetic button closure, one compartment and sturdy handles, aesthetics and utility march in. Match this black bag with one of your favourite tees, a pair of slim fit jeans, and a pair of patent pumps for a stunning date look.",https://rukminim1.flixcart.com/image/200/200/jtd98y80/hand-messenger-bag/y/x/t/nusz28-nusz28-hand-held-bag-aldo-original-imafeqe7ytdczfz8.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jtd98y80/hand-messenger-bag/y/x/t/nusz28-nusz28-hand-held-bag-aldo-original-imafeqe7ytdczfz8.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jtd98y80/hand-messenger-bag/y/x/t/nusz28-nusz28-hand-held-bag-aldo-original-imafeqe7ytdczfz8.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfeqdkcwzh9ets?pid=HMBFEH535MVAGYXT,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH535MVAGYXT,TRUE,TRUE,0,0,0.0,,0,Tan,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 12.5 inch x 15.0 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 12.5 inch x 15.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Treat yourself by picking this fashionable tan handbag from the house of Aldo. Crafted using polyester and adorned with textile inner lining, the bag is tantamount to unmatched quality. With a magnetic button closure, one compartment and sturdy handles, aesthetics and utility march in. Match this black bag with one of your favourite tees, a pair of slim fit jeans, and a pair of patent pumps for a stunning date look.",,,flipkart,1,"2019-06-12 14:10:45","2019-06-25 07:57:17"
734,734,HMBFEKZSMEDEQFJ4,1,"ALDO Hand-held Bag(Multicolor)","Complete your high-end fashion statement with this exclusive looking multi-coloured handbag from the house of Aldo. The handbag features a turn-lock closure, one main compartment, two pockets and a scarf tied for added aesthetics. It is crafted using synthetic for the outer body and textile for the inner body. It will look great when wearing all black outfit.",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/f/j/4/glendaa2-glendaa2-hand-held-bag-aldo-original-imafem23gpzqxj5e.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/f/j/4/glendaa2-glendaa2-hand-held-bag-aldo-original-imafem23gpzqxj5e.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/f/j/4/glendaa2-glendaa2-hand-held-bag-aldo-original-imafem23gpzqxj5e.jpeg?q=90,,6499.0,6499.0,6499.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemyv8pt6ctrh?pid=HMBFEKZSMEDEQFJ4,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEKZSMEDEQFJ4,TRUE,TRUE,0,0,0.0,,0,Multicolor,0,0,0,"For Women;Material: Synthetic Fabric;Closure: Turnlock;Casual Bag;Width x Height : 5.0 mm x 11.0 inch","For Women;Material: Synthetic Fabric;Closure: Turnlock;Casual Bag;Width x Height : 5.0 mm x 11.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Complete your high-end fashion statement with this exclusive looking multi-coloured handbag from the house of Aldo. The handbag features a turn-lock closure, one main compartment, two pockets and a scarf tied for added aesthetics. It is crafted using synthetic for the outer body and textile for the inner body. It will look great when wearing all black outfit.",,,flipkart,1,"2019-06-12 14:10:53","2019-06-25 09:13:43"
917,917,HMBFG5NBHXMJXRZY,1,"Hidesign Sling Bag(Red)","With a flick of the tassel and a wink of the eye; the Flirt Sling Bag from the HidesignxKalki collection is an exquisitely designed handbag. Handcrafted in contrasting leathers with a top zip compartment, multiple pockets and half circle solid brass handles this bag is an easy pick for a date night.",https://rukminim1.flixcart.com/image/200/200/jv8exzk0/hand-messenger-bag/r/z/y/flirt-02-croco-reg-marsala-metallic-flirt-02-sling-bag-hidesign-original-imafg6xad6kdbkzq.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jv8exzk0/hand-messenger-bag/r/z/y/flirt-02-croco-reg-marsala-metallic-flirt-02-sling-bag-hidesign-original-imafg6xad6kdbkzq.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jv8exzk0/hand-messenger-bag/r/z/y/flirt-02-croco-reg-marsala-metallic-flirt-02-sling-bag-hidesign-original-imafg6xad6kdbkzq.jpeg?q=90,,NULL,5295.0,NULL,http://www.flipkart.com/hidesign-sling-bag/p/itmfg6x2shute6f2?pid=HMBFG5NBHXMJXRZY,"Lifestyle>Leather & Travel Accessories>Bags>Sling Bags",Hidesign,HMBFG5NBHXMJXRZY,TRUE,TRUE,0,NULL,0.0,"Usually Delivered in 6 - 7 days.",0,Red,0,0,0,"For Women;Material: Genuine Leather;Closure: Zip;Casual Bag;Width x Height : 6.0 cm x 15.0 cm","For Women;Material: Genuine Leather;Closure: Zip;Casual Bag;Width x Height : 6.0 cm x 15.0 cm",0,Hidesign,0.0,0,0,0,0,,"With a flick of the tassel and a wink of the eye; the Flirt Sling Bag from the HidesignxKalki collection is an exquisitely designed handbag. Handcrafted in contrasting leathers with a top zip compartment, multiple pockets and half circle solid brass handles this bag is an easy pick for a date night.",,,flipkart,1,"2019-06-12 14:10:59","2019-06-25 10:45:46"
936,936,HMBFEH27KCYDHNHC,1,"ALDO Hand-held Bag(Brown)","Endearing a classic look, this black purse by Aldo is perfect for keeping all your cards and currency most efficiently and compactly. Designed with highly durable polyester and textile, this purse features a zippered closure with a heart-shaped golden chain along with two main compartments for optimum style and functionality. Suitable for a wide range of occasions, this textured purse is a great addition to your closet.",https://rukminim1.flixcart.com/image/200/200/jt8yxe80/hand-messenger-bag/n/h/c/viremma37-viremma37-hand-held-bag-aldo-original-imafemjphmwhyash.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt8yxe80/hand-messenger-bag/n/h/c/viremma37-viremma37-hand-held-bag-aldo-original-imafemjphmwhyash.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt8yxe80/hand-messenger-bag/n/h/c/viremma37-viremma37-hand-held-bag-aldo-original-imafemjphmwhyash.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemggyavrymus?pid=HMBFEH27KCYDHNHC,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH27KCYDHNHC,TRUE,TRUE,0,0,0.0,,0,Brown,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 9.0 inch x 14.0 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 9.0 inch x 14.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Endearing a classic look, this black purse by Aldo is perfect for keeping all your cards and currency most efficiently and compactly. Designed with highly durable polyester and textile, this purse features a zippered closure with a heart-shaped golden chain along with two main compartments for optimum style and functionality. Suitable for a wide range of occasions, this textured purse is a great addition to your closet.",,,flipkart,1,"2019-06-12 14:11:00","2019-06-25 10:55:19"
975,975,SLBF8SYSJH4GEFVJ,1,"The House of Tara Men & Women Casual Black Canvas, Fabric Messenger Bag","This Crossbody Messenger Bag made in specially treated canvas fabric is stylishly crafted for everyday use. It has a zip pocket at the back to keep your quick access items. The inside lining has two slip pockets to keep your mobile etc and one more zip pocket. The main compartment has a flap and dog buckle closure. The flap is embellished with metal studs that enhance the overall appeal of the bag. The bag has a short haul handle and an adjustable shoulder strap for ease of carrying.",https://rukminim1.flixcart.com/image/200/200/jmnrtzk0-1/sling-bag/f/v/j/studded-messenger-bag-htmb-093-messenger-bag-the-house-of-tara-original-imaf98gde8g7yhzf.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jmnrtzk0-1/sling-bag/f/v/j/studded-messenger-bag-htmb-093-messenger-bag-the-house-of-tara-original-imaf98gde8g7yhzf.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jmnrtzk0-1/sling-bag/f/v/j/studded-messenger-bag-htmb-093-messenger-bag-the-house-of-tara-original-imaf98gde8g7yhzf.jpeg?q=90,,1799.0,1799.0,891.0,http://www.flipkart.com/house-tara-men-women-casual-black-canvas-fabric-messenger-bag/p/itmf8sgxy9t7zdx5?pid=SLBF8SYSJH4GEFVJ,"Lifestyle>Leather & Travel Accessories>Bags & Bagpacks>Cross Body Bags","The House of Tara","SLBF8SYSVUGF86HY,SLBF8SYSRUYGHYCV,SLBF8SYSC6GND4WZ,SLBF8SYS2SPSEABZ,SLBF8SYSYAJRAQPZ,SLBF8SYSFJTPGK9J,SLBF8SYSCG5EKSK8",true,TRUE,0,50,0.0,"Usually Delivered in 5 - 6 days.",0,Black,0,0,0,"Style: Messenger Bag;Ideal For: Men & Women;Closure: Buckle, Twist Clasp;Color: Black;Material: Canvas, Fabric","Style: Messenger Bag;Ideal For: Men & Women;Closure: Buckle, Twist Clasp;Color: Black;Material: Canvas, Fabric",0,"Vandit Aneja",0.0,0,0,0,0,,"This Crossbody Messenger Bag made in specially treated canvas fabric is stylishly crafted for everyday use. It has a zip pocket at the back to keep your quick access items. The inside lining has two slip pockets to keep your mobile etc and one more zip pocket. The main compartment has a flap and dog buckle closure. The flap is embellished with metal studs that enhance the overall appeal of the bag. The bag has a short haul handle and an adjustable shoulder strap for ease of carrying.",,,flipkart,1,"2019-06-12 14:11:01","2019-06-25 11:14:56"
1178,1178,HMBFEN5QZYQYC2RQ,1,"Allen Solly Hand-held Bag(Black)","Flaunt a chic and charming look over the weekend with this black handbag from Solly by Allen Solly. This design features two short handles and one main compartment with a zipper closure. Team it with a stylish top, black jeans and pumps to grab the attention.",https://rukminim1.flixcart.com/image/200/200/jtaed8w0/hand-messenger-bag/2/r/q/women-black-pu-handbag-ahprobg517001-hand-held-bag-allen-solly-original-imafenzhjytz47uh.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jtaed8w0/hand-messenger-bag/2/r/q/women-black-pu-handbag-ahprobg517001-hand-held-bag-allen-solly-original-imafenzhjytz47uh.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jtaed8w0/hand-messenger-bag/2/r/q/women-black-pu-handbag-ahprobg517001-hand-held-bag-allen-solly-original-imafenzhjytz47uh.jpeg?q=90,,2599.0,2599.0,2599.0,http://www.flipkart.com/allen-solly-hand-held-bag/p/itmfenzhykhetmba?pid=HMBFEN5QZYQYC2RQ,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags","Allen Solly",HMBFEN5QZYQYC2RQ,TRUE,TRUE,0,0,0.0,"Usually Delivered in 6 - 7 days.",0,Black,0,0,0,"For Women;Material: PU;Closure: None;Casual Bag;Width x Height : 16 cm x 29 cm","For Women;Material: PU;Closure: None;Casual Bag;Width x Height : 16 cm x 29 cm",0,"Tripti Yadav",3.8,4488,90,0,0,,"Flaunt a chic and charming look over the weekend with this black handbag from Solly by Allen Solly. This design features two short handles and one main compartment with a zipper closure. Team it with a stylish top, black jeans and pumps to grab the attention.",,,flipkart,1,"2019-06-12 14:11:09","2019-06-25 12:57:06"
1339,1339,HMBE4HZT4BHKGE72,1,"The House of Tara Shoulder Bag(Multicolor)","Tote Bag made in printed cotton canvas with identical prints on both sides. It has jute chord handles and embellished with attractive cotton thread and glass beads tassle. Lined with polyester fabric with coin and mobile pockets.",https://rukminim1.flixcart.com/image/200/200/hand-messenger-bag/e/7/2/htt-276-the-house-of-tara-shoulder-bag-printed-canvas-276-original-imae4ha6mbshhwxx.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/hand-messenger-bag/e/7/2/htt-276-the-house-of-tara-shoulder-bag-printed-canvas-276-original-imae4ha6mbshhwxx.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/hand-messenger-bag/e/7/2/htt-276-the-house-of-tara-shoulder-bag-printed-canvas-276-original-imae4ha6mbshhwxx.jpeg?q=90,,799.0,799.0,749.0,http://www.flipkart.com/house-tara-shoulder-bag/p/itmf3vew5x4bjfzs?pid=HMBE4HZT4BHKGE72,"Lifestyle>Leather & Travel Accessories>Bags>Shoulder Bags","The House of Tara",HMBE4HZT4BHKGE72,true,TRUE,0,6,0.0,"Usually Delivered in 5 - 6 days.",0,Multicolor,0,0,0,"For Women;Material: Canvas, Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 394.0 mm x 305.0 mm","For Women;Material: Canvas, Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 394.0 mm x 305.0 mm",0,"Vandit Aneja",0.0,0,0,0,0,,"Tote Bag made in printed cotton canvas with identical prints on both sides. It has jute chord handles and embellished with attractive cotton thread and glass beads tassle. Lined with polyester fabric with coin and mobile pockets.",,,flipkart,1,"2019-06-12 14:11:14","2019-06-25 14:18:04"
1365,1365,HMBFEH2VGTQCYDFQ,1,"ALDO Shoulder Bag(Pink)","A great combination of style and versatility, this nude coloured handbag by Aldo is all you need to accentuate your casual look. Designed with highly durable polyester, both on the inner and outer side for a long-lasting style, this handbag features a magnetic closure along with two main compartments for optimum functionality. This nude solid patterned handbag will go well for any occasion.",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/d/f/q/riverbank35-riverbank35-shoulder-bag-aldo-original-imafehxxxgzcbhgt.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/d/f/q/riverbank35-riverbank35-shoulder-bag-aldo-original-imafehxxxgzcbhgt.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/d/f/q/riverbank35-riverbank35-shoulder-bag-aldo-original-imafehxxxgzcbhgt.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-shoulder-bag/p/itmfehxfqt2h7bww?pid=HMBFEH2VGTQCYDFQ,"Lifestyle>Leather & Travel Accessories>Bags>Shoulder Bags",ALDO,HMBFEH2VGTQCYDFQ,TRUE,TRUE,0,0,0.0,,0,Pink,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 6 inch x 13 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 6 inch x 13 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"A great combination of style and versatility, this nude coloured handbag by Aldo is all you need to accentuate your casual look. Designed with highly durable polyester, both on the inner and outer side for a long-lasting style, this handbag features a magnetic closure along with two main compartments for optimum functionality. This nude solid patterned handbag will go well for any occasion.",,,flipkart,1,"2019-06-12 14:11:15","2019-06-25 14:31:08"
1413,1413,HMBFEUPTRMZCDCA2,1,"ALDO Hand-held Bag(Black)","Impress your friends as you take out this black crossbody bag from the house of Aldo. The bag highlights polyester body with textile lining for sturdiness and durability. Featuring magnetic button closure, chain metal strap and metal hardware detailing, it goes well with any western outfit to offer a lovely look.",https://rukminim1.flixcart.com/image/200/200/jtkeg7k0/hand-messenger-bag/c/a/2/mallare98-mallare98-hand-held-bag-aldo-original-imafevczacg6f8f2.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jtkeg7k0/hand-messenger-bag/c/a/2/mallare98-mallare98-hand-held-bag-aldo-original-imafevczacg6f8f2.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jtkeg7k0/hand-messenger-bag/c/a/2/mallare98-mallare98-hand-held-bag-aldo-original-imafevczacg6f8f2.jpeg?q=90,,5999.0,5999.0,5999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfev4dzmthjn69?pid=HMBFEUPTRMZCDCA2,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEUPTRMZCDCA2,TRUE,TRUE,0,0,0.0,,0,Black,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 3 inch x 10 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 3 inch x 10 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Impress your friends as you take out this black crossbody bag from the house of Aldo. The bag highlights polyester body with textile lining for sturdiness and durability. Featuring magnetic button closure, chain metal strap and metal hardware detailing, it goes well with any western outfit to offer a lovely look.",,,flipkart,1,"2019-06-12 14:11:17","2019-06-25 14:55:16"
1493,1493,SLBESDRBAZNYKCEE,1,"The House of Tara Men Casual Green Canvas Messenger Bag","This crossbody messenger bag is tough and sturdy enough to accompany you everyday. You can also fit in a laptop of upto 15.6 inch screen size in this bag. It has a thick quilting on the sides as well as bottom for extra protection of the laptop or any other delicate items. The main compartment has a quilted partition for a snug fit of your laptop. It is made in heavy weight specially coated cotton canvas. The main flap of the bag has two magnetic snap buttons for quick and hassle free closure. An additional leather closure is also provided for extra safety as well as style. Two front pockets with magnetic snap button closure have been provided for your quick access items. An attractive webbing material adjustable shoulder strap has been provided for ease of carrying. Dimensions: 14 inches x 11 inches x 4 inches (W x H X D).",https://rukminim1.flixcart.com/image/200/200/sling-bag/c/e/e/distress-finish-crossbody-canvas-sling-bag-htmb-065-sling-bag-original-imaesbpraga76rmc.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/sling-bag/c/e/e/distress-finish-crossbody-canvas-sling-bag-htmb-065-sling-bag-original-imaesbpraga76rmc.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/sling-bag/c/e/e/distress-finish-crossbody-canvas-sling-bag-htmb-065-sling-bag-original-imaesbpraga76rmc.jpeg?q=90,,2299.0,2299.0,1399.0,http://www.flipkart.com/house-tara-men-casual-green-canvas-messenger-bag/p/itmesdrbyweeqbcy?pid=SLBESDRBAZNYKCEE,"Lifestyle>Leather & Travel Accessories>Bags & Bagpacks>Cross Body Bags","The House of Tara","SLBESGHHCQPKBVSK,SLBESDR2PUNDZPFC",true,TRUE,0,39,0.0,"Usually Delivered in 5 - 6 days.",0,Green,0,0,0,"Style: Messenger Bag;Ideal For: Men;Closure: Buckle;Color: Green;Material: Canvas","Style: Messenger Bag;Ideal For: Men;Closure: Buckle;Color: Green;Material: Canvas",0,"Vandit Aneja",0.0,0,0,0,0,,"This crossbody messenger bag is tough and sturdy enough to accompany you everyday. You can also fit in a laptop of upto 15.6 inch screen size in this bag. It has a thick quilting on the sides as well as bottom for extra protection of the laptop or any other delicate items. The main compartment has a quilted partition for a snug fit of your laptop. It is made in heavy weight specially coated cotton canvas. The main flap of the bag has two magnetic snap buttons for quick and hassle free closure. An additional leather closure is also provided",,,flipkart,1,"2019-06-12 14:11:20","2019-06-25 15:35:31"
1524,1524,HMBFEH3FBHH2SVMT,1,"ALDO Hand-held Bag(Pink)","Carry all your essentials with you whenever going out in this pink handbag from the . The handbag is manufactured using polyester outer and textile inner lining. Its material and structure offer durability and sturdiness. The product features zipper closure with one compartment, double handles and metal hardware detailing for added aesthetics.",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/v/m/t/handful55-handful55-hand-held-bag-aldo-original-imafehbbnc7yzwgg.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/v/m/t/handful55-handful55-hand-held-bag-aldo-original-imafehbbnc7yzwgg.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/v/m/t/handful55-handful55-hand-held-bag-aldo-original-imafehbbnc7yzwgg.jpeg?q=90,,7999.0,7999.0,7999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfehbyx6pcqqha?pid=HMBFEH3FBHH2SVMT,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH3FBHH2SVMT,TRUE,TRUE,0,0,0.0,,0,Pink,0,0,0,"For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 6 mm x 14 inch","For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 6 mm x 14 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Carry all your essentials with you whenever going out in this pink handbag from the . The handbag is manufactured using polyester outer and textile inner lining. Its material and structure offer durability and sturdiness. The product features zipper closure with one compartment, double handles and metal hardware detailing for added aesthetics.",,,flipkart,1,"2019-06-12 14:11:21","2019-06-25 15:51:06"
